flip_noise_%,avg_QBER_%,avg_final_key_m,success_%,avg_sifted
0.0,0.0,279,100.0,398
1.0,0.2666666666666667,273,100.0,398
2.0,1.2611979423224404,260,100.0,398
3.0,1.7778646089891068,252,100.0,398
4.0,2.0278646089891073,243,40.0,398
5.0,3.3206656351234667,234,40.0,398
6.0,4.3102238680551945,228,20.0,398
7.000000000000001,4.816877708042366,227,0.0,398
8.0,5.840198214696206,225,0.0,398
9.0,6.841655897278387,225,0.0,398
10.0,8.592841012921335,221,0.0,398
11.0,9.346408433155421,215,0.0,398
12.0,10.842620506074322,215,0.0,398
13.0,11.863831275076256,210,0.0,398
14.000000000000002,12.870485115063426,207,0.0,398
15.0,13.621189230225376,197,0.0,398
